tt0105236;Reservoir Dogs;A crime boss assembles a team of six experienced criminals to pull off a large jewellery heist.;83;1992;[crime,drama,thriller];reservoir_dogs.jpg
tt0022100;M;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;83;1931;[crime,mystery,thriller];m.jpg
tt0086879;Amadeus;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him.;83;1984;[drama,biography,history];amadeus.jpg
tt0052357;Vertigo;A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.;83;1958;[romance,mystery,thriller];vertigo.jpg
tt5311514;Your Name.;Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?;83;2016;[drama,fantasy,animation];your_name..jpg
tt5074352;Dangal;Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.;83;2016;[drama,biography,action];dangal.jpg
tt1345836;The Dark Knight Rises;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.;84;2012;[action,thriller];the_dark_knight_rises.jpg
tt0986264;Ligesom stjerner på jorden;An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.;83;2007;[drama,family];ligesom_stjerner_på_jorden.jpg
tt0338013;Eternal Sunshine of the Spotless Mind;When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.;83;2004;[drama,romance,sci-fi];eternal_sunshine_of_the_spotless_mind.jpg
tt0180093;Requiem for a Dream;The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.;83;2000;[drama];requiem_for_a_dream.jpg
tt0086190;Star Wars: Episode VI - Return of the Jedi;After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.;83;1983;[action,adventure,fantasy];star_wars_episode_vi_-_return_of_the_jedi.jpg
tt0211915;Amélie;Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.;83;2001;[romance,comedy];amélie.jpg
tt1187043;3 Idiots;Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them "idiots".;83;2009;[drama,comedy];3_idiots.jpg
tt0036775;Double Indemnity;An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.;83;1944;[crime,drama,film-noir];double_indemnity.jpg
tt0114709;Toy Story;A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.;83;1995;[adventure,comedy,animation];toy_story.jpg
tt0056172;Lawrence of Arabia;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;83;1962;[drama,biography,adventure];lawrence_of_arabia.jpg
tt0062622;2001: A Space Odyssey;A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000.;83;1968;[adventure,sci-fi];2001_a_space_odyssey.jpg
tt0075314;Taxi Driver;A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.;83;1976;[crime,drama];taxi_driver.jpg
tt0066921;A Clockwork Orange;In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.;83;1971;[crime,drama,sci-fi];a_clockwork_orange.jpg
tt0093058;Full Metal Jacket;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;83;1987;[drama,war];full_metal_jacket.jpg
tt0045152;Singin' in the Rain;A silent film production company and cast make a difficult transition to sound.;83;1952;[romance,comedy,musical];singin_in_the_rain.jpg
tt0012349;The Kid;The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;83;1921;[drama,family,comedy];the_kid.jpg
tt0040522;Bicycle Thieves;In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.;83;1948;[drama];bicycle_thieves.jpg
tt0119217;Good Will Hunting;Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.;83;1997;[drama,romance];good_will_hunting.jpg
tt0056592;To Kill a Mockingbird;Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.;83;1962;[crime,drama];to_kill_a_mockingbird.jpg
tt0361748;Inglourious Basterds;In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.;83;2009;[drama,adventure,war];inglourious_basterds.jpg
tt0071853;Monty Python and the Holy Grail;King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.;82;1975;[adventure,fantasy,comedy];monty_python_and_the_holy_grail.jpg
tt0070735;The Sting;Two grifters team up to pull off the ultimate con.;83;1973;[crime,drama,comedy];the_sting.jpg
tt2106476;The Hunt;A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.;83;2012;[drama];the_hunt.jpg
tt0435761;Toy Story 3;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;83;2010;[adventure,comedy,animation];toy_story_3.jpg
tt0059578;For a Few Dollars More;Two bounty hunters with the same intentions team up to track down a Western outlaw.;82;1965;[western];for_a_few_dollars_more.jpg
tt0208092;Snatch;Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.;83;2000;[crime,comedy];snatch.jpg
tt0053604;The Apartment;A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.;82;1960;[drama,romance,comedy];the_apartment.jpg
tt1832382;A Separation;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;82;2011;[crime,drama,family];a_separation.jpg
tt0119488;L.A. Confidential;As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.;82;1997;[crime,drama,mystery];l.a._confidential.jpg
tt0086250;Scarface;In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.;82;1983;[crime,drama];scarface.jpg
tt0042876;Rashomon;The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.;82;1950;[crime,drama,mystery];rashomon.jpg
tt0017136;Metropolis;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;82;1927;[drama,sci-fi];metropolis.jpg
tt1049413;Up;Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.;82;2009;[adventure,comedy,animation];up.jpg
tt0042192;All About Eve;An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.;82;1950;[drama];all_about_eve.jpg
tt0055630;Yojimbo;A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.;82;1961;[drama,action,thriller];yojimbo.jpg
tt0097576;Indiana Jones and the Last Crusade;In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers.;82;1989;[action,adventure,fantasy];indiana_jones_and_the_last_crusade.jpg
tt0053291;Some Like It Hot;When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.;82;1959;[romance,comedy];some_like_it_hot.jpg
tt0105695;Unforgiven;Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.;82;1992;[drama,western];unforgiven.jpg
tt0095016;Die Hard;John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.;82;1988;[action,thriller];die_hard.jpg
tt0363163;Downfall;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;82;2004;[drama,biography,history];downfall.jpg
tt0372784;Batman Begins;After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.;82;2005;[action,adventure,thriller];batman_begins.jpg
tt1255953;Incendies;Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.;82;2010;[drama,mystery,war];incendies.jpg
tt0040897;The Treasure of the Sierra Madre;Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.;82;1948;[drama,western,adventure];the_treasure_of_the_sierra_madre.jpg
tt0044741;Ikiru;A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.;82;1952;[drama];ikiru.jpg
tt0113277;Heat;A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.;82;1995;[crime,drama,thriller];heat.jpg
tt0118849;Children of Heaven;After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to "win" a new pair.;82;1997;[drama,family];children_of_heaven.jpg
tt0476735;Min far og min søn;The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.;82;2005;[drama,family];min_far_og_min_son.jpg
tt0081398;Raging Bull;The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it.;82;1980;[drama,biography,sport];raging_bull.jpg
tt1727824;Bohemian Rhapsody;A chronicle of the years leading up to Queen's legendary appearance at the Live Aid (1985) concert.;82;2018;[drama,biography,music];bohemian_rhapsody.jpg
tt0057115;The Great Escape;Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.;82;1963;[drama,history,adventure];the_great_escape.jpg
tt0457430;Pan's Labyrinth;In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.;82;2006;[drama,fantasy,war];pans_labyrinth.jpg
tt0089881;Ran;In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.;82;1985;[drama,action];ran.jpg
tt0041959;The Third Man;Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.;82;1949;[mystery,thriller,film-noir];the_third_man.jpg
tt0071315;Chinatown;A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.;82;1974;[drama,mystery,thriller];chinatown.jpg
tt0347149;Howl's Moving Castle;When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.;82;2004;[adventure,family,animation];howls_moving_castle.jpg
tt1305806;The Secret in Their Eyes;A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.;82;2009;[drama,romance,mystery];the_secret_in_their_eyes.jpg
tt0096283;My Neighbor Totoro;When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.;82;1988;[fantasy,family,animation];my_neighbor_totoro.jpg
tt0268978;A Beautiful Mind;After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.;82;2001;[drama,biography];a_beautiful_mind.jpg
tt0055031;Judgment at Nuremberg;In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.;82;1961;[drama,war];judgment_at_nuremberg.jpg
tt0015864;The Gold Rush;A prospector goes to the Klondike in search of gold and finds it and more.;82;1925;[drama,adventure,comedy];the_gold_rush.jpg
tt0050212;The Bridge on the River Kwai;After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.;82;1957;[drama,adventure,war];the_bridge_on_the_river_kwai.jpg
tt0120735;Lock, Stock and Two Smoking Barrels;A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.;82;1998;[crime,comedy];lock_stock_and_two_smoking_barrels.jpg
tt0047296;On the Waterfront;An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.;82;1954;[crime,drama,thriller];on_the_waterfront.jpg
tt0112641;Casino;A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.;82;1995;[crime,drama];casino.jpg
tt0080678;The Elephant Man;A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of intelligence and sensitivity.;81;1980;[drama,biography];the_elephant_man.jpg
tt5027774;Three Billboards Outside Ebbing, Missouri;A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.;82;2017;[crime,drama,comedy];three_billboards_outside_ebbing_missouri.jpg
